"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"130",0.1073949,-0.5606457,-1.001523,-2.431807,-3.514744,-2.765913,-0.3048596,-3.721135,0.04696335,-2.734612,-2.401918,-3.475908,-0.7683962,-4.624597,-5.055136,1.414619,-2.500656,-0.03621243,0.01434791,-0.5606457,-1.001523,-2.508193,-2.637657,-2.431807,-2.681296,-2.702035,-2.982336,-1.705049,-3.514744,0.03732008,-3.721135,-2.401918,-3.475908,-3.687843,-1.518034
"132",0.04951758,-0.504727,-0.8651457,-2.40176,-3.166832,-2.680105,-0.3321451,-3.54546,0.06652483,-2.780704,-2.373904,-3.700847,-0.7322154,-4.52097,-4.900519,1.342665,-2.184847,-0.06617134,-0.02078455,-0.504727,-0.8651457,-2.267147,-2.410766,-2.40176,-2.528937,-2.5769,-3.048633,-1.577066,-3.166832,0.04756661,-3.54546,-2.373904,-3.700847,-3.851406,-1.690256
"134",-0.03135972,-0.4107272,-0.7934779,-2.325534,-2.554095,-2.602711,-0.3721869,-3.476058,0.1569634,-2.772836,-2.339029,-3.750488,-0.8477698,-4.444584,-4.740462,1.271113,-2.001539,-0.07224201,-0.1156217,-0.4107272,-0.7934779,-2.008198,-2.172831,-2.325534,-2.283988,-2.25546,-3.113056,-1.229133,-2.554095,0.0642221,-3.476058,-2.339029,-3.750488,-3.896148,-1.76669
"136",-0.129887,-0.3649743,-0.779721,-2.276264,-2.013761,-2.552183,-0.4039669,-3.441939,0.2631995,-2.739997,-2.318868,-3.663575,-1.001758,-4.354573,-4.575145,1.215757,-1.954058,-0.08875052,-0.2078641,-0.3649743,-0.779721,-1.772055,-1.988705,-2.276264,-2.084583,-1.899613,-3.083184,-1.038604,-2.013761,0.07384732,-3.441939,-2.318868,-3.663575,-3.843409,-1.803057
"138",-0.2353739,-0.3440497,-0.7753242,-2.234653,-1.656862,-2.551155,-0.4767044,-3.352898,0.3166418,-2.700732,-2.264122,-3.551656,-1.091073,-4.232757,-4.404741,1.164526,-1.953577,-0.08710519,-0.291783,-0.3440497,-0.7753242,-1.637714,-1.891192,-2.234653,-1.927528,-1.63825,-2.973251,-0.9333733,-1.656862,0.07403722,-3.352898,-2.264122,-3.551656,-3.802605,-1.814094
"140",-0.2853549,-0.3226878,-0.765871,-2.167442,-1.403037,-2.592194,-0.5221624,-3.261061,0.3267039,-2.658174,-2.129977,-3.331427,-1.108043,-4.086113,-4.229502,1.100958,-1.929206,-0.06274728,-0.3270288,-0.3226878,-0.765871,-1.591556,-1.861784,-2.167442,-1.830447,-1.466139,-2.862734,-0.8387176,-1.403037,0.06905078,-3.261061,-2.129977,-3.331427,-3.908283,-1.804896
"142",-0.297222,-0.3381474,-0.4042968,-2.117547,-1.164283,-2.634405,-0.5534851,-3.112462,0.3009397,-2.607958,-1.921968,-3.266113,-1.036376,-3.924462,-4.049619,1.05449,-1.784312,-0.06384095,-0.293552,-0.3381474,-0.4042968,-1.564545,-1.881989,-2.117547,-1.795561,-1.343524,-2.771411,-0.7600693,-1.164283,0.05904216,-3.112462,-1.921968,-3.266113,-3.96889,-1.775369
"144",-0.3183885,-0.3735661,-0.413198,-2.118254,-0.9099528,-2.604599,-0.5934835,-3.017655,0.2730587,-2.555046,-1.658904,-3.131601,-0.9041533,-3.754703,-3.865119,1.014443,-1.777731,-0.07488127,-0.2990769,-0.3735661,-0.413198,-1.546689,-1.925893,-2.118254,-1.816552,-1.229581,-2.605551,-0.6687077,-0.9099528,0.03812243,-3.017655,-1.658904,-3.131601,-3.928789,-1.722489
"146",-0.3805819,-0.3878239,-0.3376119,-2.121879,-0.618348,-2.427272,-0.6582464,-3.062212,0.2872269,-2.489145,-1.408119,-3.035257,-0.7648566,-3.573208,-3.676793,0.7924283,-1.854182,-0.1059281,-0.2306683,-0.3878239,-0.3376119,-1.413831,-2.047067,-2.121879,-2.012336,-1.08606,-2.3645,-0.5698674,-0.618348,0.03070601,-3.062212,-1.408119,-3.035257,-3.862974,-1.637661
"148",-0.3462934,-0.2025367,-0.2727286,-2.279366,-0.566098,-1.993391,-0.8922348,-2.455997,0.2108942,-2.520791,-1.471984,-2.853642,-0.7492242,-3.395964,-3.48411,0.7853866,-1.964489,-0.01717489,-0.02480358,-0.2025367,-0.2727286,-1.534492,-2.175228,-2.279366,-2.141912,-1.241464,-2.658472,-0.5466092,-0.566098,0.0303199,-2.455997,-1.471984,-2.853642,-3.686421,-1.408722
