"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"130",0.5894261,0.2729568,-0.7719328,-1.037142,0.6650676,2.601165,2.13611,0.8645698,1.787549,2.245454,0.8291223,-0.2059189,1.24159,3.756327,4.112191,-0.9642838,2.446939,0.5583227,0.02563143,0.2729568,-0.7719328,-0.1627424,-0.6534914,-1.037142,-0.957983,1.415032,1.415178,1.822718,0.6650676,1.970895,0.8645698,0.8291223,-0.2059189,-0.1252949,0.5657119
"132",0.5531299,0.2687255,-0.796532,-0.9115497,0.4262257,2.573321,2.277765,1.007264,1.954918,2.330776,0.84106,-0.1488177,1.493001,3.984552,4.276507,-0.8873637,2.359098,0.5239376,-0.04457072,0.2687255,-0.796532,-0.1642888,-0.6132327,-0.9115497,-0.8418467,1.287104,1.411757,1.749115,0.4262257,2.215781,1.007264,0.84106,-0.1488177,-0.1047478,0.561625
"134",0.5653659,0.3073816,-0.7692023,-0.7690035,0.2445848,2.583999,2.360503,1.120191,2.106656,2.378423,0.8883839,-0.05463566,1.945306,4.225263,4.435654,-0.8344808,2.396146,0.5163066,-0.08122343,0.3073816,-0.7692023,-0.1528353,-0.6386118,-0.7690035,-0.7359479,1.307734,1.578686,1.846285,0.2445848,2.338416,1.120191,0.8883839,-0.05463566,-0.09206924,0.5453453
"136",0.5762105,0.3046769,-0.7097626,-0.6770592,0.1428214,2.633103,2.397535,1.179508,2.332601,2.427081,0.9754649,0.05265691,2.388838,4.439416,4.589456,-0.8119872,2.497162,0.4811978,-0.1117548,0.3046769,-0.7097626,-0.1892045,-0.7637181,-0.6770592,-0.712641,1.486958,1.795322,2.072186,0.1428214,2.365969,1.179508,0.9754649,0.05265691,-0.0687656,0.5309606
"138",0.641531,0.3316575,-0.6505004,-0.5382451,0.1041536,2.726905,2.410654,1.205694,2.613814,2.492239,1.042837,0.1594263,2.68284,4.616496,4.737758,-0.8083736,2.535953,0.4149404,-0.1463499,0.3316575,-0.6505004,-0.1555682,-0.8388148,-0.5382451,-0.6604398,1.709709,1.952025,2.324257,0.1041536,2.315191,1.205694,1.042837,0.1594263,-0.00556054,0.5175673
"140",0.6941471,0.351634,-0.6086824,-0.3771994,0.09709741,2.8746,2.41048,1.221598,2.904759,2.578817,1.047283,0.3258179,2.84719,4.765732,4.880444,-0.7889473,2.507517,0.3485486,-0.2117355,0.351634,-0.6086824,-0.05984587,-0.837157,-0.3771994,-0.5890521,1.897358,2.053609,2.554456,0.09709741,2.239272,1.221598,1.047283,0.3258179,0.3091584,0.5043636
"142",0.8459158,0.3701687,-0.7756134,-0.2703156,0.1122488,3.018866,2.363279,1.272524,3.135201,2.674244,0.99613,0.3588877,2.885156,4.894585,5.017349,-0.7740205,2.39483,0.2585723,-0.2605653,0.3701687,-0.7756134,0.06607016,-0.8245724,-0.2703156,-0.5460523,2.075148,2.146465,2.75399,0.1122488,2.141355,1.272524,0.99613,0.3588877,0.4070634,0.4933404
"144",1.096483,0.3178059,-0.6994488,-0.284104,0.1735919,3.07079,2.204119,1.347466,3.269187,2.778818,0.9396229,0.3474142,2.853091,5.013191,5.148309,-0.7568526,2.506626,0.1627644,-0.3481349,0.3178059,-0.6994488,0.1435091,-0.83528,-0.284104,-0.5813199,2.320265,2.22306,3.023158,0.1735919,1.838465,1.347466,0.9396229,0.3474142,0.4112551,0.4857153
"146",1.368057,0.1772205,-0.6688501,-0.6343592,0.374633,2.968264,1.7748,1.393867,3.285184,2.881464,0.9225657,0.3132982,2.818111,5.1183,5.273114,-0.6271981,2.632728,0.08412812,-0.4023711,0.1772205,-0.6688501,-0.07882955,-1.064779,-0.6343592,-0.9434147,2.682739,2.360314,3.375257,0.374633,1.091995,1.393867,0.9225657,0.3132982,0.3427798,0.4970659
"148",1.269398,0.2303018,-0.8202256,-0.5130376,0.2592444,2.812283,1.269521,1.381144,3.519147,3.149989,1.434182,0.381433,2.95863,5.204491,5.391878,-0.8779532,2.725357,0.01756815,-0.5059504,0.2303018,-0.8202256,-0.09199656,-1.387335,-0.5130376,-1.036736,2.362093,2.006532,3.067644,0.2592444,0.1037396,1.381144,1.434182,0.381433,0.3333984,0.7416694
"150",1.507203,-0.05327961,-0.5839315,-0.5012642,0.7133394,2.85584,1.064457,1.321707,3.640484,3.318366,2.098815,0.365776,3.241276,5.245581,5.503685,-0.8410049,2.866619,0.02071709,-0.1437207,-0.05327961,-0.5839315,-0.1272082,-1.356326,-0.5012642,-1.073,3.006126,2.533764,3.739964,0.7133394,-0.2510964,1.321707,2.098815,0.365776,0.3688365,0.9030662
"152",1.84755,-0.01445572,-0.3529807,0.7274307,1.353945,2.828162,0.4251422,1.18418,3.500585,3.112269,1.682748,0.1295578,3.332535,5.320221,5.608422,-0.6168304,2.810445,-0.1322274,-0.2840514,-0.01445572,-0.3529807,0.4884878,-0.906358,0.7274307,-0.7641601,3.146891,2.872055,3.781594,1.353945,-0.1604207,1.18418,1.682748,0.1295578,0.2665475,0.6613622
