"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"130",0.02860026,0.2072492,0.1487541,0.6718164,0.3807279,0.1125613,0.3013732,-0.05017641,-0.008816846,-0.03880925,-0.1195383,-0.1824023,0.02564692,0.8964098,-0.003036991,-0.1589819,0.4064138,0.1242004,-0.2561166,0.2072492,0.1487541,-0.7873103,-1.42855,0.6718164,0.3595091,0.3680365,-0.8319929,0.4038466,0.3807279,0.2750343,-0.05017641,-0.1195383,-0.1824023,-0.5019701,0.03800011
"132",0.02782028,0.2022365,0.2851393,0.560545,0.4317449,0.1244054,0.2892252,-0.01521214,0.009758568,-0.04244836,-0.1154735,-0.2492005,0.02484883,0.9714487,-0.003103019,-0.1577988,0.4172659,0.1155869,-0.2479711,0.2022365,0.2851393,-0.6353678,-1.323721,0.560545,0.3099248,0.3605362,-0.9563472,0.4191642,0.4317449,0.3628478,-0.01521214,-0.1154735,-0.2492005,-0.5815524,0.02860278
"134",0.03198537,0.2189553,0.3406447,0.4364602,0.4297299,0.1335461,0.2876789,-0.009682803,0.03062879,-0.03160641,-0.1152025,-0.2879158,0.008237224,1.052686,-0.003171041,-0.1577396,0.4000076,0.1055199,-0.2231776,0.2189553,0.3406447,-0.481796,-1.306809,0.4364602,0.279198,0.3937978,-1.03392,0.3138317,0.4297299,0.4357348,-0.009682803,-0.1152025,-0.2879158,-0.6481127,0.03057779
"136",0.03219939,0.2325192,0.3332386,0.4152148,0.4490666,0.1394506,0.2820212,-0.01624804,0.04799656,-0.01572865,-0.1228428,-0.3006286,-0.01134379,1.128191,-0.003238089,-0.1553943,0.3735918,0.1082778,-0.20015,0.2325192,0.3332386,-0.3438316,-1.371425,0.4152148,0.270086,0.4177707,-1.050355,0.1793612,0.4490666,0.4833122,-0.01624804,-0.1228428,-0.3006286,-0.6952706,0.0411603
"138",0.02935961,0.2177481,0.2939055,0.4210551,0.4848878,0.1411285,0.2792068,-0.01664626,0.06333688,0.00144597,-0.1207711,-0.3057438,-0.02062927,1.190448,-0.003305512,-0.1399695,0.3590349,0.1240857,-0.1757337,0.2177481,0.2939055,-0.2097379,-1.408173,0.4210551,0.2248006,0.4050719,-1.028259,0.1110121,0.4848878,0.5055008,-0.01664626,-0.1207711,-0.3057438,-0.7409258,0.06364425
"140",0.03891644,0.1822948,0.25592,0.3839711,0.5173948,0.1376358,0.2855058,-0.07297659,0.07927238,0.01948402,-0.09466978,-0.2526205,-0.02407299,1.242695,-0.003374581,-0.10004,0.3505378,0.1466617,-0.1406222,0.1822948,0.25592,-0.1150332,-1.421508,0.3839711,0.172968,0.3917988,-1.012871,0.117681,0.5173948,0.4945463,-0.07297659,-0.09466978,-0.2526205,-0.7829435,0.1003899
"142",0.02529321,0.1223686,0.4231698,0.3593188,0.5466061,0.1343799,0.2880104,-0.07422901,0.09027126,0.04079,-0.04757643,-0.269629,-0.01910181,1.287773,-0.0034472,-0.05497294,0.3472822,0.1896029,-0.1130563,0.1223686,0.4231698,-0.04246437,-1.454014,0.3593188,0.1472955,0.3767485,-1.005885,0.1410741,0.5466061,0.4564776,-0.07422901,-0.04757643,-0.269629,-0.8148017,0.150927
"144",0.0006624038,0.08961221,0.3832913,0.3546182,0.5622124,0.1419761,0.2736933,-0.07419062,0.09487825,0.06320254,0.006668528,-0.2703323,-0.009986562,1.328741,-0.003537143,-0.01436712,0.3098362,0.2510809,-0.07677646,0.08961221,0.3832913,-0.01089878,-1.516536,0.3546182,0.1428883,0.3567758,-0.9310649,0.1909964,0.5622124,0.3994533,-0.07419062,0.006668528,-0.2703323,-0.8389078,0.2161376
"146",-0.04120653,0.1104691,0.3847662,0.5132872,0.5296329,0.1688376,0.2514601,-0.1251747,0.1032378,0.08075194,0.04324617,-0.280171,0.004591803,1.365249,-0.003618834,-0.009992591,0.2645577,0.2730952,-0.05311875,0.1104691,0.3847662,-0.05649135,-1.694734,0.5132872,0.1826414,0.3309353,-0.732166,0.2725047,0.5296329,0.2750125,-0.1251747,0.04324617,-0.280171,-0.8920488,0.290378
"148",-0.0315437,0.06829563,0.4491194,0.6135849,0.5388897,0.1904267,0.2269406,-0.09858003,0.1192089,0.07270446,0.01553365,-0.2263389,0.01089115,1.396477,-0.003687827,0.1149103,0.2901226,0.3726143,-0.05787821,0.06829563,0.4491194,-0.03611667,-1.960053,0.6135849,0.160308,0.4517997,-0.9691082,0.284953,0.5388897,0.1542876,-0.09858003,0.01553365,-0.2263389,-0.8391908,0.3387978
"150",-0.08375202,0.2425348,0.3394638,0.5601993,0.3744735,0.2051416,0.1307541,-0.195244,0.1610968,0.08039752,0.007841341,-0.2062603,0.01629909,1.401257,-0.003766554,0.1783521,0.2925233,0.62868,-0.04948554,0.2425348,0.3394638,-0.102274,-1.948257,0.5601993,0.2950889,0.3778413,-0.869182,0.3546424,0.3744735,0.1571063,-0.195244,0.007841341,-0.2062603,-0.8755359,0.3294159
"152",-0.1691913,-0.01999495,0.2507624,0.2176818,0.3781036,0.2133199,-0.002877915,-0.3576742,0.131667,0.08767305,0.005459964,-0.1620979,0.02671216,1.436616,-0.003766833,-0.04153225,0.1748489,0.3969764,-0.09430544,-0.01999495,0.2507624,0.464697,-1.648668,0.2176818,0.2761832,0.2918112,-0.0986563,0.3014969,0.3781036,0.08758378,-0.3576742,0.005459964,-0.1620979,-0.9773618,0.3842093
"154",-0.1474825,-0.02010879,-0.05785252,0.8922807,-0.0002359207,0.2000846,0.2847786,-0.3916438,0.1841519,0.0968019,0.00749805,-0.2193233,0.03002019,1.405471,-0.003828459,-0.09829583,0.4041547,0.46539,-0.01433936,-0.02010879,-0.05785252,0.2674597,-2.111203,0.8922807,0.3760494,0.2990473,-0.05930842,0.3482235,-0.0002359207,-0.004021036,-0.3916438,0.00749805,-0.2193233,-1.031681,0.3518997
"156",-0.1678328,-0.03071893,0.009444973,0.1462172,0.2567788,0.1272495,0.2053563,-0.3422288,0.1450188,0.08473882,-0.02780516,-0.04462378,0.04517035,1.455698,-0.003872531,-0.09481018,0.210292,0.2636379,-0.06609751,-0.03071893,0.009444973,0.2234703,-1.59904,0.1462172,0.2601632,0.1435033,0.2103873,0.08407774,0.2567788,0.009772982,-0.3422288,-0.02780516,-0.04462378,-1.084818,0.2811872
"158",-0.2671975,0.07500213,0.1341287,0.6464988,0.6461712,0.1754387,0.3079823,0.1248561,0.1878029,0.09063743,-0.006134035,-0.09390821,0.04403466,1.407909,-0.003962642,-0.3618324,0.4893607,0.5744448,-0.1358988,0.07500213,0.1341287,-0.1253085,-1.728911,0.6464988,0.481587,0.3692584,-0.7277766,0.2387832,0.6461712,0.2684861,0.1248561,-0.006134035,-0.09390821,-1.174174,0.2255369
"160",-0.1289558,0.03727652,-0.1309694,0.5131903,0.3071859,0.1231013,0.256402,0.300191,0.1692752,0.08007709,-0.02223724,0.06554867,0.06226238,1.396556,-0.003978006,-0.3171711,0.268708,0.5358913,-0.02715977,0.03727652,-0.1309694,1.49147,-1.387869,0.5131903,0.2866527,0.1193757,0.2636277,0.1080035,0.3071859,0.2518806,0.300191,-0.02223724,0.06554867,-0.9812932,0.1734926
"162",0.04440176,0.2119054,-0.08573985,0.5691001,0.1090176,0.09723126,0.1704839,0.5344754,0.1273621,0.08011424,-0.05590948,0.1270091,0.08467131,1.41461,-0.003980708,-0.1575573,0.230772,0.2553055,-0.05243097,0.2119054,-0.08573985,0.8417062,-1.087703,0.5691001,0.3537542,0.08189087,0.169715,0.09504871,0.1090176,0.2017675,0.5344754,-0.05590948,0.1270091,-1.133127,0.1258475
"164",-0.03018564,0.08712623,-0.06411622,0.205173,0.03816549,0.1137187,0.2264032,0.4080152,0.1503642,0.07602428,-0.03445293,0.1969388,0.07963358,1.347576,-0.00405578,-0.1538738,0.2539711,0.4510874,-0.0299882,0.08712623,-0.06411622,0.09137631,-0.2443127,0.205173,0.6145971,0.1278437,0.1331142,0.1762763,0.03816549,0.248375,0.4080152,-0.03445293,0.1969388,-0.9635827,0.07912454
