"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"130",0.4279671,1.186511,0.349539,0.7015468,2.280511,0.7338383,0.6333119,1.534768,1.030566,1.11599,1.060872,0.8494727,0.9727724,1.999672,0.9177715,0.6516723,0.8835857,1.197163,1.469465,1.186511,0.349539,1.022279,1.004745,0.7015468,0.9713967,2.302939,1.102545,3.255765,2.280511,0.4086075,1.534768,1.060872,0.8494727,0.9843551,0.7188543
"132",0.4572994,1.11029,0.3876942,0.6297582,2.317875,0.7061897,0.6738905,1.586077,1.103319,1.117995,1.101067,0.8754443,0.911693,2.045348,0.920915,0.6157132,0.8659188,1.131487,1.527384,1.11029,0.3876942,0.9188196,0.8762486,0.6297582,0.8778151,2.282781,1.198002,2.997783,2.317875,0.464244,1.586077,1.101067,0.8754443,1.047751,0.7557854
"134",0.4748555,1.067211,0.4358902,0.6284885,2.517912,0.6832897,0.7147209,1.618556,1.167008,1.106656,1.132091,0.8951482,0.8867913,2.046895,0.9239193,0.5871265,0.8313688,1.038092,1.554862,1.067211,0.4358902,0.9037246,0.8384997,0.6284885,0.830909,2.382899,1.358906,2.705548,2.517912,0.5168089,1.618556,1.132091,0.8951482,1.098544,0.7920461
"136",0.4814475,1.041256,0.4652822,0.6946524,2.784265,0.6664251,0.7458218,1.610704,1.127004,1.076667,1.159294,0.9031593,0.9152129,2.034715,0.9267822,0.5559363,0.8329446,0.978842,1.549748,1.041256,0.4652822,0.9178712,0.8658628,0.6946524,0.8488835,2.392367,1.569097,2.412299,2.784265,0.5537833,1.610704,1.159294,0.9031593,1.12989,0.8222289
"138",0.5013296,0.9875051,0.4693786,0.7633286,2.994071,0.6612691,0.7781109,1.582488,1.025775,1.030494,1.165276,0.9128436,0.953106,2.047587,0.9295053,0.5130684,0.8849648,0.9658796,1.554699,0.9875051,0.4693786,0.9270418,0.9429811,0.7633286,0.8840649,2.284405,1.786289,2.149959,2.994071,0.6022197,1.582488,1.165276,0.9128436,1.163491,0.8416479
"140",0.5295099,0.9080844,0.445414,0.8479571,3.144105,0.6672849,0.8010853,1.502726,0.9805697,0.971074,1.153558,0.9466479,0.9611733,2.084118,0.9320816,0.4381377,0.9327636,0.9368357,1.556383,0.9080844,0.445414,0.9544432,1.030464,0.8479571,0.9293633,2.127498,1.996692,1.930816,3.144105,0.6394239,1.502726,1.153558,0.9466479,1.262297,0.8438439
"142",0.5691051,0.8147463,0.3925825,0.9301826,3.303214,0.6725155,0.8079871,1.426483,1.026665,0.9128112,1.12828,0.9645354,0.9512197,2.134204,0.9345181,0.3585503,0.9860882,0.8974508,1.58215,0.8147463,0.3925825,1.015841,1.160843,0.9301826,1.008703,1.954669,2.235081,1.756202,3.303214,0.6464866,1.426483,1.12828,0.9645354,1.296561,0.8241437
"144",0.6015208,0.7485921,0.3362616,1.026827,3.440584,0.6707093,0.8140034,1.321042,1.106283,0.8801015,1.10146,0.9731201,0.9232214,2.196617,0.9368319,0.2997351,0.9710309,0.8334228,1.473506,0.7485921,0.3362616,1.080528,1.288682,1.026827,1.095196,1.704064,2.504342,1.574274,3.440584,0.6293431,1.321042,1.10146,0.9731201,1.287584,0.7758484
"146",0.7271798,0.6589478,0.2515263,1.001418,3.517519,0.7012692,0.8582878,1.220695,1.161087,0.8508907,1.096676,0.9843624,0.8864311,2.268169,0.9389571,0.4241003,0.9860243,0.7722518,1.302609,0.6589478,0.2515263,1.022101,1.290059,1.001418,1.210529,1.539949,2.54322,1.483741,3.517519,0.5983333,1.220695,1.096676,0.9843624,1.278635,0.7156899
"148",0.6960076,0.5700658,0.1959376,1.187183,3.110782,0.9793776,1.256012,1.656807,1.411124,1.105727,1.487081,1.13578,1.016802,2.31849,0.9405713,0.334249,1.334909,0.4790148,1.120985,0.5700658,0.1959376,1.040339,1.048895,1.187183,1.016732,1.032514,2.148806,1.187465,3.110782,0.5406504,1.656807,1.487081,1.13578,1.46212,1.149149
"150",0.6814283,0.5619327,0.2356905,1.353685,2.600529,1.073533,0.9874642,1.545342,1.333034,1.242428,1.59114,1.120329,1.160069,2.574949,0.9423264,0.3720877,1.280413,0.2959423,0.9735279,0.5619327,0.2356905,1.021628,1.090362,1.353685,1.012607,0.7293115,1.788792,0.8762283,2.600529,0.3176398,1.545342,1.59114,1.120329,1.458531,1.442994
"152",0.7997944,0.5432383,0.2583809,2.640554,3.614648,0.6138406,0.8492914,1.12771,1.096837,0.8543908,1.124747,0.87252,0.8616724,2.41112,0.9446882,0.3730882,1.127832,0.6617344,0.7152504,0.5432383,0.2583809,1.388416,1.7259,2.640554,1.471107,0.861163,3.251417,1.136041,3.614648,0.2459526,1.12771,1.124747,0.87252,1.228009,0.5861403
"154",0.7073006,0.5447732,0.5103472,1.279049,1.812237,0.9019709,0.7084501,1.690697,1.029801,1.116481,1.259026,0.7921944,1.156169,2.959051,0.945808,0.5753505,1.020316,0.4773342,0.7757037,0.5447732,0.5103472,0.8458517,0.9241174,1.279049,0.7744473,0.5549145,1.041609,0.5954464,1.812237,0.3415104,1.690697,1.259026,0.7921944,1.242229,1.483191
"156",0.6664219,0.4732215,0.3768918,2.547439,2.889754,0.6700569,0.9444257,1.490036,1.168683,0.8469523,0.9812171,0.813685,0.9428977,2.521104,0.9477634,0.477825,1.258494,0.6035095,0.634352,0.4732215,0.3768918,1.372461,1.493072,2.547439,1.344512,0.8315277,2.827614,1.222112,2.889754,0.3742538,1.490036,0.9812171,0.813685,1.292404,0.8389905
"158",0.71328,0.5030642,0.4999763,1.38423,1.734454,0.9541659,0.6945786,1.894469,1.115195,1.084321,1.294224,0.8112383,1.136594,3.099987,0.9488469,0.5588389,1.12854,0.4607806,0.6820072,0.5030642,0.4999763,0.946541,1.016804,1.38423,0.8169354,0.4819391,1.099618,0.5559313,1.734454,0.3332321,1.894469,1.294224,0.8112383,1.43558,1.457512
"160",0.8006944,0.53323,0.429522,2.169055,2.432251,1.076242,1.008921,1.926375,1.388238,0.9509982,1.571199,1.020807,1.081419,3.066407,0.95028,0.4014879,1.467349,0.2885096,0.6389788,0.53323,0.429522,1.291577,1.230159,2.169055,1.062824,0.5642544,1.995145,0.9010521,2.432251,0.3710772,1.926375,1.571199,1.020807,1.938293,1.30253
"162",0.3789578,0.3285337,0.8438576,0.8747163,1.617794,0.7092244,0.7372109,1.346547,1.170301,0.8212266,0.9334682,0.6794609,0.9518948,2.677265,0.9516054,0.4125299,1.067477,0.5267651,0.4402478,0.3285337,0.8438576,0.6783713,1.09829,0.8747163,0.9308717,0.7199365,1.856648,1.152036,1.617794,0.4434814,1.346547,0.9334682,0.6794609,1.428214,1.159735
"164",1.013218,0.3216461,0.6384803,1.460039,1.868367,0.9199277,1.060713,1.77818,1.417016,0.8941361,1.435343,0.8175747,1.039252,3.168318,0.9525419,0.4053894,1.319372,0.3160081,0.6361873,0.3216461,0.6384803,0.6506655,1.094933,1.460039,0.8066884,0.6038163,1.872931,0.9595465,1.868367,0.421621,1.77818,1.435343,0.8175747,2.025962,1.074997
