"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"130",0.01078258,0.07197629,0.04253055,0.06151593,0.154418,0.0310327,0.03077714,0.07869709,0.03726521,0.04580938,0.04891063,0.04622502,0.03011747,0.0931935,0.009214699,0.03199762,0.03671207,0.07715301,0.07101877,0.07197629,0.04253055,0.07421915,0.1215556,0.06151593,0.06624643,0.1469149,0.1855967,0.2417078,0.154418,0.04629081,0.07869709,0.04891063,0.04622502,0.0696583,0.02970786
"132",0.01219402,0.0627508,0.04023479,0.05390067,0.1536944,0.02943908,0.03381513,0.08456153,0.04146697,0.04547501,0.05150895,0.04891108,0.02942368,0.09562533,0.009265312,0.03020856,0.03472787,0.07096459,0.07555581,0.0627508,0.04023479,0.06055487,0.09437484,0.05390067,0.05678202,0.1453014,0.2115394,0.220587,0.1536944,0.0573333,0.08456153,0.05150895,0.04891108,0.07548212,0.03234269
"134",0.01303863,0.05486416,0.0403827,0.05426818,0.1575981,0.02820456,0.036087,0.09138495,0.04371525,0.04444486,0.05385329,0.04997235,0.03151546,0.09520388,0.009314225,0.02786999,0.03301257,0.06282336,0.07585588,0.05486416,0.0403827,0.05602939,0.08533331,0.05426818,0.05302968,0.1558155,0.2303189,0.1915439,0.1575981,0.06644076,0.09138495,0.05385329,0.04997235,0.07894363,0.03468428
"136",0.01365407,0.05055451,0.04256019,0.06134942,0.1662016,0.02746784,0.03749282,0.09705788,0.04046852,0.04268427,0.05735647,0.04939446,0.03554451,0.09357989,0.009361329,0.02479907,0.03392342,0.05813298,0.07443625,0.05055451,0.04256019,0.0579371,0.09103648,0.06134942,0.05621103,0.1586316,0.2385989,0.168219,0.1662016,0.07292605,0.09705788,0.05735647,0.04939446,0.07919279,0.03667558
"138",0.01500153,0.04612514,0.04342735,0.06919418,0.1758133,0.02744608,0.03839447,0.1000967,0.03696517,0.04049095,0.06037302,0.04864161,0.03828186,0.0939174,0.009406486,0.02108512,0.03661474,0.05767228,0.07381465,0.04612514,0.04342735,0.06077721,0.09917954,0.06919418,0.06017968,0.1507422,0.2417346,0.1528914,0.1758133,0.08252421,0.1000967,0.06037302,0.04864161,0.07828849,0.03815992
"140",0.01648787,0.04124012,0.0416155,0.07861391,0.185567,0.02816778,0.0390396,0.09547162,0.0380595,0.03832605,0.06070262,0.05018974,0.0384863,0.09626832,0.009449612,0.01639796,0.03817057,0.05588422,0.0721277,0.04124012,0.0416155,0.06488433,0.1071129,0.07861391,0.06414179,0.1391077,0.2489426,0.1402432,0.185567,0.09090889,0.09547162,0.06070262,0.05018974,0.07972794,0.0388744
"142",0.01896156,0.03549532,0.02522592,0.08901116,0.1980592,0.02874991,0.03894523,0.08985391,0.04246135,0.03682684,0.05761428,0.05093979,0.03720231,0.09972238,0.009490605,0.0122666,0.03873017,0.05464051,0.07045322,0.03549532,0.02522592,0.07209751,0.1215605,0.08901116,0.07147142,0.1266045,0.2631274,0.1297327,0.1980592,0.0928042,0.08985391,0.05761428,0.05093979,0.07963017,0.03856072
"144",0.02199855,0.03227603,0.02345912,0.1009823,0.2081812,0.02841102,0.03817543,0.08007648,0.04680903,0.03657239,0.05229169,0.05023511,0.03484485,0.1040948,0.009529495,0.01020094,0.03818004,0.05139335,0.06321594,0.03227603,0.02345912,0.07933324,0.1384226,0.1009823,0.08065187,0.1093387,0.2724875,0.1174443,0.2081812,0.08808417,0.08007648,0.05229169,0.05023511,0.0769404,0.03693741
"146",0.02782134,0.03195755,0.01648526,0.09463342,0.2147574,0.0279821,0.03784215,0.07200238,0.04910977,0.03668931,0.04759335,0.05016644,0.03254448,0.1088651,0.009565842,0.01446227,0.04016655,0.04833159,0.05313469,0.03195755,0.01648526,0.07632056,0.1569382,0.09463342,0.09534095,0.0963647,0.2638908,0.1097786,0.2147574,0.0659832,0.07200238,0.04759335,0.05016644,0.07630624,0.03401724
"148",0.02654528,0.03654693,0.01041617,0.1083778,0.1922651,0.03651737,0.0632341,0.09005962,0.06058037,0.04543122,0.06335208,0.05885011,0.03774138,0.1130707,0.009598111,0.01243472,0.05757875,0.03170508,0.04407023,0.03654693,0.01041617,0.09126548,0.15142,0.1083778,0.08347267,0.07104055,0.2360422,0.09200401,0.1922651,0.04401334,0.09005962,0.06335208,0.05885011,0.0890258,0.04289321
"150",0.02735758,0.05344128,0.01483411,0.1195691,0.1619579,0.04060098,0.05665772,0.08407055,0.05928285,0.0500244,0.06407865,0.05947084,0.04306198,0.127428,0.009629016,0.01299089,0.05833403,0.02364514,0.03414885,0.05344128,0.01483411,0.08835744,0.152343,0.1195691,0.08441805,0.05186269,0.1983169,0.06829426,0.1619579,0.02188501,0.08407055,0.06407865,0.05947084,0.08770174,0.05776073
"152",0.03282626,0.03276827,0.009922674,0.2564248,0.2200412,0.02308245,0.04749563,0.06451253,0.04954851,0.03613773,0.04722286,0.04650005,0.03347195,0.118864,0.009663569,0.01207152,0.04926697,0.03886419,0.02242522,0.03276827,0.009922674,0.1137706,0.2192268,0.2564248,0.1295147,0.0667514,0.2902472,0.08465038,0.2200412,0.01414575,0.06451253,0.04722286,0.04650005,0.06936974,0.02690439
"154",0.02640842,0.02809432,0.03133206,0.06817659,0.09209955,0.03722039,0.05323963,0.08460321,0.05507616,0.04680389,0.05431429,0.0531009,0.04227261,0.146257,0.009688446,0.02044395,0.06157059,0.04537996,0.0227458,0.02809432,0.03133206,0.07596545,0.1331975,0.06817659,0.06637759,0.03786835,0.08357748,0.04107383,0.09209955,0.02661259,0.08460321,0.05431429,0.0531009,0.07908011,0.06629582
"156",0.02405453,0.03295829,0.01458036,0.2700725,0.1655987,0.02835981,0.04035838,0.07491967,0.05791745,0.03544112,0.04302212,0.04850217,0.03721582,0.1265768,0.009716967,0.01603217,0.05581584,0.03402031,0.01892676,0.03295829,0.01458036,0.108075,0.1884209,0.2700725,0.1155671,0.06348653,0.2213199,0.08010757,0.1655987,0.02464405,0.07491967,0.04302212,0.04850217,0.07399473,0.03316779
"158",0.02883442,0.03849391,0.0163035,0.0787148,0.135619,0.04012399,0.03060467,0.1108676,0.06436658,0.04544792,0.04398612,0.05641479,0.04423274,0.1584386,0.009738127,0.02199618,0.06327122,0.06419833,0.0293775,0.03849391,0.0163035,0.06965746,0.1123112,0.0787148,0.06141811,0.03255528,0.1322537,0.03822377,0.135619,0.06331362,0.1108676,0.04398612,0.05641479,0.09101759,0.07123816
"160",0.027314,0.03945106,0.02205024,0.1128323,0.1335943,0.04466195,0.04434496,0.1157692,0.07415368,0.03939791,0.05537927,0.06465232,0.04441508,0.1633926,0.009761376,0.01678875,0.06313565,0.0326035,0.02162327,0.03945106,0.02205024,0.105793,0.1297502,0.1128323,0.07486274,0.04749371,0.1451279,0.06162144,0.1335943,0.04857119,0.1157692,0.05537927,0.06465232,0.1093807,0.05816568
